Показатель	Страна	Год	Индекcы цен
Индекс потребительских цен, 2010 г.=100	Болгария	2013	108.3
Индекс потребительских цен, 2010 г.=100	Болгария	2014	106.7
Индекс потребительских цен, 2010 г.=100	Болгария	2015	106.6
Индекс потребительских цен, 2010 г.=100	Болгария	2016	105.8
Индекс потребительских цен, 2010 г.=100	Болгария	2017	107.9
Индекс потребительских цен, 2010 г.=100	Болгария	2018	111.0
Индекс потребительских цен, 2010 г.=100	Болгария	2019	114.4
Индекс потребительских цен, 2010 г.=100	Болгария	2020	116.3
Индекс потребительских цен, 2010 г.=100	Болгария	2021	120.2
Индекс потребительских цен, 2010 г.=100	Болгария	2022	138.6
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	1990	..
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	1991	..
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	1992	..
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	1993	..
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	1994	..
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	1995	..
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	1996	67.4
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	1997	75.3
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	1998	79.0
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	1999	78.6
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	2000	79.9
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	2001	81.4
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	2002	82.1
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	2003	82.3
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	2004	81.9
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	2005	85.0
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	2006	90.3
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	2007	91.6
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	2008	98.4
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	2009	98.0
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	2010	100.0
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	2011	103.7
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	2012	105.8
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	2013	105.9
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	2014	104.8
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	2015	103.9
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	2016	102.1
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	2017	102.7
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	2018	104.0
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	2019	104.9
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	2020	104.1
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	2021	104.8
Индекс потребительских цен, 2010 г.=100	Босния и Герцеговина	2022	117.9
Индекс потребительских цен, 2010 г.=100	Венгрия	1990	9.3
Индекс потребительских цен, 2010 г.=100	Венгрия	1991	12.5
Индекс потребительских цен, 2010 г.=100	Венгрия	1992	15.4
Индекс потребительских цен, 2010 г.=100	Венгрия	1993	18.8
Индекс потребительских цен, 2010 г.=100	Венгрия	1994	22.4
Индекс потребительских цен, 2010 г.=100	Венгрия	1995	28.7
Индекс потребительских цен, 2010 г.=100	Венгрия	1996	35.5
Индекс потребительских цен, 2010 г.=100	Венгрия	1997	42.0
Индекс потребительских цен, 2010 г.=100	Венгрия	1998	47.9
Индекс потребительских цен, 2010 г.=100	Венгрия	1999	52.7
Индекс потребительских цен, 2010 г.=100	Венгрия	2000	57.9
Индекс потребительских цен, 2010 г.=100	Венгрия	2001	63.2
Индекс потребительских цен, 2010 г.=100	Венгрия	2002	66.5
Индекс потребительских цен, 2010 г.=100	Венгрия	2003	69.6
Индекс потребительских цен, 2010 г.=100	Венгрия	2004	74.3
Индекс потребительских цен, 2010 г.=100	Венгрия	2005	76.9
Индекс потребительских цен, 2010 г.=100	Венгрия	2006	79.9
Индекс потребительских цен, 2010 г.=100	Венгрия	2007	86.3
Индекс потребительских цен, 2010 г.=100	Венгрия	2008	91.5
Индекс потребительских цен, 2010 г.=100	Венгрия	2009	95.4
Индекс потребительских цен, 2010 г.=100	Венгрия	2010	100.0
Индекс потребительских цен, 2010 г.=100	Венгрия	2011	103.9
Индекс потребительских цен, 2010 г.=100	Венгрия	2012	109.8
Индекс потребительских цен, 2010 г.=100	Венгрия	2013	111.7
Индекс потребительских цен, 2010 г.=100	Венгрия	2014	111.4
Индекс потребительских цен, 2010 г.=100	Венгрия	2015	111.4
Индекс потребительских цен, 2010 г.=100	Венгрия	2016	111.8
Индекс потребительских цен, 2010 г.=100	Венгрия	2017	114.4
Индекс потребительских цен, 2010 г.=100	Венгрия	2018	117.7
Индекс потребительских цен, 2010 г.=100	Венгрия	2019	121.6
Индекс потребительских цен, 2010 г.=100	Венгрия	2020	125.7
Индекс потребительских цен, 2010 г.=100	Венгрия	2021	132.1
Индекс потребительских цен, 2010 г.=100	Венгрия	2022	151.4
Индекс потребительских цен, 2010 г.=100	Германия	1990	..
Индекс потребительских цен, 2010 г.=100	Германия	1991	70.2
Индекс потребительских цен, 2010 г.=100	Германия	1992	73.8
Индекс потребительских цен, 2010 г.=100	Германия	1993	77.0
Индекс потребительских цен, 2010 г.=100	Германия	1994	79.1
Индекс потребительских цен, 2010 г.=100	Германия	1995	80.5
Индекс потребительских цен, 2010 г.=100	Германия	1996	81.7
Индекс потребительских цен, 2010 г.=100	Германия	1997	83.2
Индекс потребительских цен, 2010 г.=100	Германия	1998	84.0
Индекс потребительских цен, 2010 г.=100	Германия	1999	84.5
Индекс потребительских цен, 2010 г.=100	Германия	2000	85.7
Индекс потребительских цен, 2010 г.=100	Германия	2001	87.4
Индекс потребительских цен, 2010 г.=100	Германия	2002	88.6
Индекс потребительских цен, 2010 г.=100	Германия	2003	89.6
Индекс потребительских цен, 2010 г.=100	Германия	2004	91.0
Индекс потребительских цен, 2010 г.=100	Германия	2005	92.5
Индекс потребительских цен, 2010 г.=100	Германия	2006	93.9
Индекс потребительских цен, 2010 г.=100	Германия	2007	96.1
Индекс потребительских цен, 2010 г.=100	Германия	2008	98.6
Индекс потребительских цен, 2010 г.=100	Германия	2009	98.9
Индекс потребительских цен, 2010 г.=100	Германия	2010	100.0
Индекс потребительских цен, 2010 г.=100	Германия	2011	102.1
Индекс потребительских цен, 2010 г.=100	Германия	2012	104.1
Индекс потребительских цен, 2010 г.=100	Германия	2013	105.7
Индекс потребительских цен, 2010 г.=100	Германия	2014	106.6
Индекс потребительских цен, 2010 г.=100	Германия	2015	107.2
Индекс потребительских цен, 2010 г.=100	Германия	2016	107.7
Индекс потребительских цен, 2010 г.=100	Германия	2017	109.4
Индекс потребительских цен, 2010 г.=100	Германия	2018	111.2
Индекс потребительских цен, 2010 г.=100	Германия	2019	112.9
Индекс потребительских цен, 2010 г.=100	Германия	2020	113.0
Индекс потребительских цен, 2010 г.=100	Германия	2021	116.5
Индекс потребительских цен, 2010 г.=100	Германия	2022	124.5
Индекс потребительских цен, 2010 г.=100	Греция	1990	29.8
Индекс потребительских цен, 2010 г.=100	Греция	1991	35.6
Индекс потребительских цен, 2010 г.=100	Греция	1992	41.2
Индекс потребительских цен, 2010 г.=100	Греция	1993	47.2
Индекс потребительских цен, 2010 г.=100	Греция	1994	52.3
Индекс потребительских цен, 2010 г.=100	Греция	1995	57.0
Индекс потребительских цен, 2010 г.=100	Греция	1996	61.7
Индекс потребительских цен, 2010 г.=100	Греция	1997	65.1
Индекс потребительских цен, 2010 г.=100	Греция	1998	68.2
Индекс потребительских цен, 2010 г.=100	Греция	1999	70.0
Индекс потребительских цен, 2010 г.=100	Греция	2000	72.2
Индекс потребительских цен, 2010 г.=100	Греция	2001	74.6
Индекс потребительских цен, 2010 г.=100	Греция	2002	77.4
Индекс потребительских цен, 2010 г.=100	Греция	2003	80.1
Индекс потребительских цен, 2010 г.=100	Греция	2004	82.4
Индекс потребительских цен, 2010 г.=100	Греция	2005	85.3
Индекс потребительских цен, 2010 г.=100	Греция	2006	88.0
Индекс потребительских цен, 2010 г.=100	Греция	2007	90.6
Индекс потребительских цен, 2010 г.=100	Греция	2008	94.4
Индекс потребительских цен, 2010 г.=100	Греция	2009	95.5
Индекс потребительских цен, 2010 г.=100	Греция	2010	100.0
Индекс потребительских цен, 2010 г.=100	Греция	2011	103.3
Индекс потребительских цен, 2010 г.=100	Греция	2012	104.9
Индекс потребительских цен, 2010 г.=100	Греция	2013	103.9
Индекс потребительских цен, 2010 г.=100	Греция	2014	102.6
Индекс потребительских цен, 2010 г.=100	Греция	2015	100.8
Индекс потребительских цен, 2010 г.=100	Греция	2016	99.9
Индекс потребительских цен, 2010 г.=100	Греция	2017	101.1
Индекс потребительских цен, 2010 г.=100	Греция	2018	101.7
Индекс потребительских цен, 2010 г.=100	Греция	2019	102.0
Индекс потребительских цен, 2010 г.=100	Греция	2020	100.7
Индекс потребительских цен, 2010 г.=100	Греция	2021	101.9
Индекс потребительских цен, 2010 г.=100	Греция	2022	111.7
Индекс потребительских цен, 2010 г.=100	Грузия	1990	..
Индекс потребительских цен, 2010 г.=100	Грузия	1991	..
Индекс потребительских цен, 2010 г.=100	Грузия	1992	..
Индекс потребительских цен, 2010 г.=100	Грузия	1993	..
Индекс потребительских цен, 2010 г.=100	Грузия	1994	10.5
Индекс потребительских цен, 2010 г.=100	Грузия	1995	27.6
Индекс потребительских цен, 2010 г.=100	Грузия	1996	38.4
Индекс потребительских цен, 2010 г.=100	Грузия	1997	41.1
Индекс потребительских цен, 2010 г.=100	Грузия	1998	42.6
Индекс потребительских цен, 2010 г.=100	Грузия	1999	50.8
Индекс потребительских цен, 2010 г.=100	Грузия	2000	52.8
Индекс потребительских цен, 2010 г.=100	Грузия	2001	55.3
Индекс потребительских цен, 2010 г.=100	Грузия	2002	58.4
Индекс потребительских цен, 2010 г.=100	Грузия	2003	61.2
Индекс потребительских цен, 2010 г.=100	Грузия	2004	64.6
Индекс потребительских цен, 2010 г.=100	Грузия	2005	70.0
Индекс потребительских цен, 2010 г.=100	Грузия	2006	76.4
Индекс потребительских цен, 2010 г.=100	Грузия	2007	83.4
Индекс потребительских цен, 2010 г.=100	Грузия	2008	91.8
Индекс потребительских цен, 2010 г.=100	Грузия	2009	93.4
Индекс потребительских цен, 2010 г.=100	Грузия	2010	100.0
Индекс потребительских цен, 2010 г.=100	Грузия	2011	108.5
Индекс потребительских цен, 2010 г.=100	Грузия	2012	107.5
Индекс потребительских цен, 2010 г.=100	Грузия	2013	107.0
Индекс потребительских цен, 2010 г.=100	Грузия	2014	110.2
Индекс потребительских цен, 2010 г.=100	Грузия	2015	114.7
Индекс потребительских цен, 2010 г.=100	Грузия	2016	117.1
Индекс потребительских цен, 2010 г.=100	Грузия	2017	124.2
Индекс потребительских цен, 2010 г.=100	Грузия	2018	127.4
Индекс потребительских цен, 2010 г.=100	Грузия	2019	133.6
Индекс потребительских цен, 2010 г.=100	Грузия	2020	140.6
Индекс потребительских цен, 2010 г.=100	Грузия	2021	154.0
Индекс потребительских цен, 2010 г.=100	Грузия	2022	172.3
Индекс потребительских цен, 2010 г.=100	Дания	1990	66.1
Индекс потребительских цен, 2010 г.=100	Дания	1991	67.7
